8000000c-0000-ec00-b63f-84710c7967bb|2016-11-28 11:15:09.7931|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/game/5835a55b71c151964df0b650/Details
800001ea-0001-ff00-b63f-84710c7967bb|2016-11-28 11:16:47.4891|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800001ea-0001-ff00-b63f-84710c7967bb|2016-11-28 11:16:52.3530|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800001ec-0001-ff00-b63f-84710c7967bb|2016-11-28 11:16:57.5576|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/game/5835a55b71c151964df0b650/Details
80000043-0000-fe00-b63f-84710c7967bb|2016-11-28 11:18:31.9386|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000043-0000-fe00-b63f-84710c7967bb|2016-11-28 11:18:36.9697|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000045-0000-fe00-b63f-84710c7967bb|2016-11-28 11:18:41.6800|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/game/5835a55b71c151964df0b650/Details
80000049-0003-eb00-b63f-84710c7967bb|2016-11-28 11:46:21.6696|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000049-0003-eb00-b63f-84710c7967bb|2016-11-28 11:46:28.9428|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000004b-0003-eb00-b63f-84710c7967bb|2016-11-28 11:46:34.6912|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/game/5835a55b71c151964df0b64f/Details
800002c2-0000-f000-b63f-84710c7967bb|2016-11-28 11:47:35.9582|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800002c2-0000-f000-b63f-84710c7967bb|2016-11-28 11:47:41.5198|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800002c4-0000-f000-b63f-84710c7967bb|2016-11-28 11:47:44.9014|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=Exotic%20Liquids
800001fe-0003-f200-b63f-84710c7967bb|2016-11-28 11:48:15.4734|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800001fe-0003-f200-b63f-84710c7967bb|2016-11-28 11:48:20.4153|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000200-0003-f200-b63f-84710c7967bb|2016-11-28 11:48:24.9103|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=New%20Orleans%20Cajun%20Delights
80000200-0003-f200-b63f-84710c7967bb|2016-11-28 11:48:25.2291|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/publisher/Details?companyName=New%20Orleans%20Cajun%20Delights
