800002fe-0000-f200-b63f-84710c7967bb|2016-11-30 10:43:24.7207|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000302-0000-f200-b63f-84710c7967bb|2016-11-30 10:44:15.2043|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000302-0000-f200-b63f-84710c7967bb|2016-11-30 10:44:20.0936|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000302-0000-f200-b63f-84710c7967bb|2016-11-30 10:44:20.7571|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000304-0000-f200-b63f-84710c7967bb|2016-11-30 10:44:26.3519|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000009-0000-f700-b63f-84710c7967bb|2016-11-30 11:14:41.0751|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000009-0000-f700-b63f-84710c7967bb|2016-11-30 11:14:48.2915|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000009-0000-f700-b63f-84710c7967bb|2016-11-30 11:14:48.9740|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000198-0002-ee00-b63f-84710c7967bb|2016-11-30 11:15:16.0937|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000198-0002-ee00-b63f-84710c7967bb|2016-11-30 11:15:19.9874|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000198-0002-ee00-b63f-84710c7967bb|2016-11-30 11:15:20.4329|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000028c-0002-f700-b63f-84710c7967bb|2016-11-30 11:15:43.9418|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000293-0002-f700-b63f-84710c7967bb|2016-11-30 11:18:57.7066|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000293-0002-f700-b63f-84710c7967bb|2016-11-30 11:19:02.2813|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000293-0002-f700-b63f-84710c7967bb|2016-11-30 11:19:02.9728|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000295-0002-f700-b63f-84710c7967bb|2016-11-30 11:19:09.6466|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000013-0000-e900-b63f-84710c7967bb|2016-11-30 11:21:35.7838|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000013-0000-e900-b63f-84710c7967bb|2016-11-30 11:21:40.6301|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000013-0000-e900-b63f-84710c7967bb|2016-11-30 11:21:41.2953|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000015-0000-e900-b63f-84710c7967bb|2016-11-30 11:21:45.4781|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
800001f9-0000-fb00-b63f-84710c7967bb|2016-11-30 11:27:39.7762|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800001f9-0000-fb00-b63f-84710c7967bb|2016-11-30 11:27:46.9232|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800001f9-0000-fb00-b63f-84710c7967bb|2016-11-30 11:27:47.5517|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800001fb-0000-fb00-b63f-84710c7967bb|2016-11-30 11:27:58.2490|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
8000009f-0003-fb00-b63f-84710c7967bb|2016-11-30 11:29:04.8125|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000009f-0003-fb00-b63f-84710c7967bb|2016-11-30 11:29:09.1253|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000009f-0003-fb00-b63f-84710c7967bb|2016-11-30 11:29:09.7572|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800000a1-0003-fb00-b63f-84710c7967bb|2016-11-30 11:29:20.2090|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000077-0000-fc00-b63f-84710c7967bb|2016-11-30 11:30:43.3573|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000456-0000-f500-b63f-84710c7967bb|2016-11-30 11:30:43.4207|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000070-0001-e500-b63f-84710c7967bb|2016-11-30 11:32:42.9928|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000070-0001-e500-b63f-84710c7967bb|2016-11-30 11:32:47.1766|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000070-0001-e500-b63f-84710c7967bb|2016-11-30 11:32:47.7945|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000072-0001-e500-b63f-84710c7967bb|2016-11-30 11:32:55.2313|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000072-0001-e500-b63f-84710c7967bb|2016-11-30 11:32:56.9630|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000074-0001-e500-b63f-84710c7967bb|2016-11-30 11:33:36.4557|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000074-0001-e500-b63f-84710c7967bb|2016-11-30 11:33:41.4282|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
800002d2-0003-f300-b63f-84710c7967bb|2016-11-30 11:34:57.6861|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
800002d2-0003-f300-b63f-84710c7967bb|2016-11-30 11:35:02.4563|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
800002d4-0003-f300-b63f-84710c7967bb|2016-11-30 11:35:16.9720|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
800002d4-0003-f300-b63f-84710c7967bb|2016-11-30 11:35:21.7312|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000462-0000-f500-b63f-84710c7967bb|2016-11-30 11:40:21.7408|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000462-0000-f500-b63f-84710c7967bb|2016-11-30 11:40:29.6718|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000462-0000-f500-b63f-84710c7967bb|2016-11-30 11:40:30.3398|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000464-0000-f500-b63f-84710c7967bb|2016-11-30 11:40:37.9777|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
8000030e-0000-ef00-b63f-84710c7967bb|2016-11-30 11:43:06.7835|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000037d-0002-f100-b63f-84710c7967bb|2016-11-30 11:43:07.2931|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000298-0001-f400-b63f-84710c7967bb|2016-11-30 11:44:27.4597|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000e32-0000-f100-b63f-84710c7967bb|2016-11-30 11:44:31.8753|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000197-0001-e800-b63f-84710c7967bb|2016-11-30 11:46:01.8101|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
800000ae-0003-fb00-b63f-84710c7967bb|2016-11-30 11:46:01.8691|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800000ae-0003-fb00-b63f-84710c7967bb|2016-11-30 11:46:06.4517|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000197-0001-e800-b63f-84710c7967bb|2016-11-30 11:46:07.0892|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
800000ae-0003-fb00-b63f-84710c7967bb|2016-11-30 11:46:07.0892|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000319-0000-ef00-b63f-84710c7967bb|2016-11-30 11:47:24.9784|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000319-0000-ef00-b63f-84710c7967bb|2016-11-30 11:47:27.1578|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000ce9-0000-e900-b63f-84710c7967bb|2016-11-30 11:49:03.4326|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000185-0002-ef00-b63f-84710c7967bb|2016-11-30 11:49:03.8258|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000ce9-0000-e900-b63f-84710c7967bb|2016-11-30 11:49:08.1077|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000ce9-0000-e900-b63f-84710c7967bb|2016-11-30 11:49:08.8013|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000185-0002-ef00-b63f-84710c7967bb|2016-11-30 11:49:09.7957|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
800002ef-0000-f300-b63f-84710c7967bb|2016-11-30 11:51:30.3781|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
8000047f-0000-f500-b63f-84710c7967bb|2016-11-30 11:51:30.4381|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800001a3-0001-e800-b63f-84710c7967bb|2016-11-30 11:53:14.2492|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000098-0001-ec00-b63f-84710c7967bb|2016-11-30 11:53:14.3402|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000098-0001-ec00-b63f-84710c7967bb|2016-11-30 11:53:19.1201|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000098-0001-ec00-b63f-84710c7967bb|2016-11-30 11:53:19.7862|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800001a3-0001-e800-b63f-84710c7967bb|2016-11-30 11:53:20.6967|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
800001a5-0001-e800-b63f-84710c7967bb|2016-11-30 11:53:59.0679|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
800001a5-0001-e800-b63f-84710c7967bb|2016-11-30 11:54:04.7105|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000813-0000-ed00-b63f-84710c7967bb|2016-11-30 12:28:40.9587|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000306-0001-f900-b63f-84710c7967bb|2016-11-30 12:28:40.9587|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000813-0000-ed00-b63f-84710c7967bb|2016-11-30 12:28:47.7737|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
