8000002e-0000-ec00-b63f-84710c7967bb|2016-11-23 09:54:34.5893|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000002e-0000-ec00-b63f-84710c7967bb|2016-11-23 09:54:38.2314|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000001d-0001-f200-b63f-84710c7967bb|2016-11-23 09:56:23.4526|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000001d-0001-f200-b63f-84710c7967bb|2016-11-23 09:56:27.6175|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000001d-0001-f200-b63f-84710c7967bb|2016-11-23 09:56:28.2110|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000021f-0001-ee00-b63f-84710c7967bb|2016-11-23 09:57:25.8750|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000021f-0001-ee00-b63f-84710c7967bb|2016-11-23 09:57:29.7444|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000021f-0001-ee00-b63f-84710c7967bb|2016-11-23 09:57:30.3093|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000023-0003-e500-b63f-84710c7967bb|2016-11-23 09:58:17.1231|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000023-0003-e500-b63f-84710c7967bb|2016-11-23 09:58:20.9570|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000023-0003-e500-b63f-84710c7967bb|2016-11-23 09:58:21.5500|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000163-0001-ea00-b63f-84710c7967bb|2016-11-23 10:06:16.1077|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000163-0001-ea00-b63f-84710c7967bb|2016-11-23 10:06:23.4076|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000163-0001-ea00-b63f-84710c7967bb|2016-11-23 10:06:23.9406|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800001a1-0001-eb00-b63f-84710c7967bb|2016-11-23 10:10:07.0834|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800001a1-0001-eb00-b63f-84710c7967bb|2016-11-23 10:10:10.7212|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800001a1-0001-eb00-b63f-84710c7967bb|2016-11-23 10:10:11.3266|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000044-0003-ea00-b63f-84710c7967bb|2016-11-23 10:11:14.7644|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000044-0003-ea00-b63f-84710c7967bb|2016-11-23 10:11:18.3897|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000044-0003-ea00-b63f-84710c7967bb|2016-11-23 10:11:19.0464|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000191-0001-f600-b63f-84710c7967bb|2016-11-23 10:21:34.3053|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Games
80000191-0001-f600-b63f-84710c7967bb|2016-11-23 10:21:41.2372|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Games
80000191-0001-f600-b63f-84710c7967bb|2016-11-23 10:21:41.8364|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Games
80000193-0001-f600-b63f-84710c7967bb|2016-11-23 10:22:24.0084|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Games
80000193-0001-f600-b63f-84710c7967bb|2016-11-23 10:22:27.5545|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Games
80000193-0001-f600-b63f-84710c7967bb|2016-11-23 10:22:27.6357|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Games
80000195-0001-f600-b63f-84710c7967bb|2016-11-23 10:22:43.3037|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?FilterBy=Popularity
80000195-0001-f600-b63f-84710c7967bb|2016-11-23 10:22:43.3407|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?FilterBy=Popularity
80000195-0001-f600-b63f-84710c7967bb|2016-11-23 10:22:43.4398|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?FilterBy=Popularity
80000198-0001-f600-b63f-84710c7967bb|2016-11-23 10:23:12.4601|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Games
80000198-0001-f600-b63f-84710c7967bb|2016-11-23 10:23:15.9082|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Games
80000198-0001-f600-b63f-84710c7967bb|2016-11-23 10:23:15.9799|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Games
