80000008-0001-ea00-b63f-84710c7967bb|2016-11-25 13:21:30.8077|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000002e-0000-f100-b63f-84710c7967bb|2016-11-25 13:22:15.0671|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000002e-0000-f100-b63f-84710c7967bb|2016-11-25 13:22:16.5168|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000002e-0000-f100-b63f-84710c7967bb|2016-11-25 13:22:23.3350|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000005-0003-df00-b63f-84710c7967bb|2016-11-25 14:11:07.5223|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000049-0000-ef00-b63f-84710c7967bb|2016-11-25 16:03:42.1670|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000023-0000-ed00-b63f-84710c7967bb|2016-11-25 16:05:43.2012|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000046-0001-e900-b63f-84710c7967bb|2016-11-25 16:07:51.8806|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000004f-0001-e900-b63f-84710c7967bb|2016-11-25 16:11:03.2954|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000028-0002-f700-b63f-84710c7967bb|2016-11-25 16:12:11.3120|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000260-0000-f800-b63f-84710c7967bb|2016-11-25 16:13:22.2835|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000018f-0000-f100-b63f-84710c7967bb|2016-11-25 16:14:06.8040|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000095-0000-f400-b63f-84710c7967bb|2016-11-25 16:17:36.0284|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800001a4-0000-f200-b63f-84710c7967bb|2016-11-25 16:18:58.8012|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800001a4-0000-f200-b63f-84710c7967bb|2016-11-25 16:19:03.7386|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800001a6-0000-f200-b63f-84710c7967bb|2016-11-25 16:19:28.5723|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?PageSize=20
