800007d9-0000-f000-b63f-84710c7967bb|2016-12-02 11:52:32.9937|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/Update
800007d9-0000-f000-b63f-84710c7967bb|2016-12-02 11:52:33.0437|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/Update
800007db-0000-f000-b63f-84710c7967bb|2016-12-02 11:52:34.9911|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/Update
80000014-0000-ed00-b63f-84710c7967bb|2016-12-02 11:53:41.0384|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000014-0000-ed00-b63f-84710c7967bb|2016-12-02 11:53:45.9248|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000014-0000-ed00-b63f-84710c7967bb|2016-12-02 11:53:46.5850|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000016-0000-ed00-b63f-84710c7967bb|2016-12-02 11:53:53.2912|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/Update?key=5840609dd0c40ef0df844493
80000016-0000-ed00-b63f-84710c7967bb|2016-12-02 11:53:53.7218|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/Update?key=5840609dd0c40ef0df844493
80000018-0000-ed00-b63f-84710c7967bb|2016-12-02 11:54:00.9475|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/Update
80000019-0000-ed00-b63f-84710c7967bb|2016-12-02 11:54:01.1247|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
80000019-0000-ed00-b63f-84710c7967bb|2016-12-02 11:54:01.3887|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
80000019-0000-ed00-b63f-84710c7967bb|2016-12-02 11:54:01.4653|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
8000001b-0000-ed00-b63f-84710c7967bb|2016-12-02 11:54:11.3366|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
8000001b-0000-ed00-b63f-84710c7967bb|2016-12-02 11:54:11.6128|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
8000001b-0000-ed00-b63f-84710c7967bb|2016-12-02 11:54:11.6679|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
8000001d-0000-ed00-b63f-84710c7967bb|2016-12-02 11:54:18.1735|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/AddToBasket?gameId=4615d8fb-bb3a-4bf6-9053-857decbb6b1a&unitsInStock=24&_=1480672451771
8000001f-0000-ed00-b63f-84710c7967bb|2016-12-02 11:54:20.9971|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/Update?key=5840609dd0c40ef0df844494
8000001f-0000-ed00-b63f-84710c7967bb|2016-12-02 11:54:21.2947|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/Update?key=5840609dd0c40ef0df844494
80000021-0000-ed00-b63f-84710c7967bb|2016-12-02 11:54:25.4010|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/Update
80000022-0000-ed00-b63f-84710c7967bb|2016-12-02 11:54:25.4490|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
80000022-0000-ed00-b63f-84710c7967bb|2016-12-02 11:54:25.7012|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
80000022-0000-ed00-b63f-84710c7967bb|2016-12-02 11:54:25.7609|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
80000024-0000-ed00-b63f-84710c7967bb|2016-12-02 11:54:33.2397|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?PageSize=0
80000024-0000-ed00-b63f-84710c7967bb|2016-12-02 11:54:33.4979|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?PageSize=0
80000024-0000-ed00-b63f-84710c7967bb|2016-12-02 11:54:33.5906|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?PageSize=0
80000026-0000-ed00-b63f-84710c7967bb|2016-12-02 11:54:40.2905|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?PageSize=0&Name=Kon&MinPrice=&MaxPrice=&DateOfAdding=week&FilterBy=Popularity
80000026-0000-ed00-b63f-84710c7967bb|2016-12-02 11:54:40.5693|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?PageSize=0&Name=Kon&MinPrice=&MaxPrice=&DateOfAdding=week&FilterBy=Popularity
80000026-0000-ed00-b63f-84710c7967bb|2016-12-02 11:54:40.6363|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?PageSize=0&Name=Kon&MinPrice=&MaxPrice=&DateOfAdding=week&FilterBy=Popularity
800003fa-0000-ec00-b63f-84710c7967bb|2016-12-02 11:56:01.5909|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800003fa-0000-ec00-b63f-84710c7967bb|2016-12-02 11:56:06.4874|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800003fa-0000-ec00-b63f-84710c7967bb|2016-12-02 11:56:07.0970|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800003fc-0000-ec00-b63f-84710c7967bb|2016-12-02 11:56:20.5479|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/Update?key=5840609dd0c40ef0df844495
800003fc-0000-ec00-b63f-84710c7967bb|2016-12-02 11:56:20.9830|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/Update?key=5840609dd0c40ef0df844495
800003fe-0000-ec00-b63f-84710c7967bb|2016-12-02 11:56:25.4452|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/Update
800003ff-0000-ec00-b63f-84710c7967bb|2016-12-02 11:56:25.6446|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
800003ff-0000-ec00-b63f-84710c7967bb|2016-12-02 11:56:25.8911|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
800003ff-0000-ec00-b63f-84710c7967bb|2016-12-02 11:56:25.9581|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
80000401-0000-ec00-b63f-84710c7967bb|2016-12-02 11:56:41.7240|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/Update?key=5840609dd0c40ef0df844495
80000401-0000-ec00-b63f-84710c7967bb|2016-12-02 11:56:42.0353|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/Update?key=5840609dd0c40ef0df844495
80000403-0000-ec00-b63f-84710c7967bb|2016-12-02 11:56:45.2301|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/Update
80000404-0000-ec00-b63f-84710c7967bb|2016-12-02 11:56:45.2971|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
80000404-0000-ec00-b63f-84710c7967bb|2016-12-02 11:56:45.5796|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
80000404-0000-ec00-b63f-84710c7967bb|2016-12-02 11:56:45.6425|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
80000406-0000-ec00-b63f-84710c7967bb|2016-12-02 11:56:50.0525|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/Update?key=Sims3_16in1
80000406-0000-ec00-b63f-84710c7967bb|2016-12-02 11:56:50.3449|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/Update?key=Sims3_16in1
80000408-0000-ec00-b63f-84710c7967bb|2016-12-02 11:56:52.5590|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games/Update
80000409-0000-ec00-b63f-84710c7967bb|2016-12-02 11:56:52.6216|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
80000409-0000-ec00-b63f-84710c7967bb|2016-12-02 11:56:52.8791|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
80000409-0000-ec00-b63f-84710c7967bb|2016-12-02 11:56:52.9561|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
8000040b-0000-ec00-b63f-84710c7967bb|2016-12-02 11:57:03.5905|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/game/5840609dd0c40ef0df844496/Details
8000040b-0000-ec00-b63f-84710c7967bb|2016-12-02 11:57:06.9546|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/game/5840609dd0c40ef0df844496/Details
8000040d-0000-ec00-b63f-84710c7967bb|2016-12-02 11:57:08.6426|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
8000040d-0000-ec00-b63f-84710c7967bb|2016-12-02 11:57:08.9053|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
8000040d-0000-ec00-b63f-84710c7967bb|2016-12-02 11:57:08.9864|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
8000040f-0000-ec00-b63f-84710c7967bb|2016-12-02 11:57:17.3280|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=Sir&MinPrice=&MaxPrice=&DateOfAdding=week&FilterBy=Popularity
8000040f-0000-ec00-b63f-84710c7967bb|2016-12-02 11:57:17.5842|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=Sir&MinPrice=&MaxPrice=&DateOfAdding=week&FilterBy=Popularity
8000040f-0000-ec00-b63f-84710c7967bb|2016-12-02 11:57:17.6403|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=Sir&MinPrice=&MaxPrice=&DateOfAdding=week&FilterBy=Popularity
80000411-0000-ec00-b63f-84710c7967bb|2016-12-02 11:57:25.8312|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=week&FilterBy=Popularity&SelectedGenresName=RTS
80000411-0000-ec00-b63f-84710c7967bb|2016-12-02 11:57:26.1069|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=week&FilterBy=Popularity&SelectedGenresName=RTS
80000411-0000-ec00-b63f-84710c7967bb|2016-12-02 11:57:26.1740|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=week&FilterBy=Popularity&SelectedGenresName=RTS
80000413-0000-ec00-b63f-84710c7967bb|2016-12-02 11:57:34.2985|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/order
80000413-0000-ec00-b63f-84710c7967bb|2016-12-02 11:57:42.2165|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/order
80000415-0000-ec00-b63f-84710c7967bb|2016-12-02 11:57:54.6897|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/basket
80000415-0000-ec00-b63f-84710c7967bb|2016-12-02 11:57:57.0049|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/basket
80000417-0000-ec00-b63f-84710c7967bb|2016-12-02 11:57:58.7811|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/order
80000417-0000-ec00-b63f-84710c7967bb|2016-12-02 11:58:03.4035|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/order
80000419-0000-ec00-b63f-84710c7967bb|2016-12-02 11:58:06.0044|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
80000419-0000-ec00-b63f-84710c7967bb|2016-12-02 11:58:06.2628|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
80000419-0000-ec00-b63f-84710c7967bb|2016-12-02 11:58:06.3299|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games
8000041b-0000-ec00-b63f-84710c7967bb|2016-12-02 11:58:21.9368|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000d5f-0001-f100-b63f-84710c7967bb|2016-12-02 11:59:24.3960|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000d5f-0001-f100-b63f-84710c7967bb|2016-12-02 11:59:38.8724|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000d5f-0001-f100-b63f-84710c7967bb|2016-12-02 11:59:39.3220|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000d61-0001-f100-b63f-84710c7967bb|2016-12-02 11:59:51.7178|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
800006b4-0003-f400-b63f-84710c7967bb|2016-12-02 12:03:51.0568|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800000bb-0002-ff00-b63f-84710c7967bb|2016-12-02 12:03:51.0568|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000037-0000-eb00-b63f-84710c7967bb|2016-12-02 12:05:27.0197|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000037-0000-eb00-b63f-84710c7967bb|2016-12-02 12:05:34.5920|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000037-0000-eb00-b63f-84710c7967bb|2016-12-02 12:05:35.0412|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000039-0000-eb00-b63f-84710c7967bb|2016-12-02 12:05:38.9639|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000048-0000-ed00-b63f-84710c7967bb|2016-12-02 12:06:25.0575|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000010-0000-e700-b63f-84710c7967bb|2016-12-02 12:06:25.0575|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000048-0000-ed00-b63f-84710c7967bb|2016-12-02 12:06:36.6013|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000048-0000-ed00-b63f-84710c7967bb|2016-12-02 12:06:37.0719|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000a5c-0000-f400-b63f-84710c7967bb|2016-12-02 12:09:49.3763|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800011c9-0000-ee00-b63f-84710c7967bb|2016-12-02 12:09:49.3763|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000044-0002-f000-b63f-84710c7967bb|2016-12-02 12:10:29.5606|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000044-0002-f000-b63f-84710c7967bb|2016-12-02 12:10:39.5157|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000044-0002-f000-b63f-84710c7967bb|2016-12-02 12:10:40.2017|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000046-0002-f000-b63f-84710c7967bb|2016-12-02 12:10:44.2031|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000073-0001-f300-b63f-84710c7967bb|2016-12-02 12:11:24.7845|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000056-0000-f300-b63f-84710c7967bb|2016-12-02 12:11:27.4178|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000094-0001-f000-b63f-84710c7967bb|2016-12-02 12:20:14.3403|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80001260-0000-ee00-b63f-84710c7967bb|2016-12-02 12:20:14.3403|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80001260-0000-ee00-b63f-84710c7967bb|2016-12-02 12:21:08.5382|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80001260-0000-ee00-b63f-84710c7967bb|2016-12-02 12:21:09.0262|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000074c-0003-f400-b63f-84710c7967bb|2016-12-02 12:21:57.4512|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000074c-0003-f400-b63f-84710c7967bb|2016-12-02 12:22:03.8477|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000074c-0003-f400-b63f-84710c7967bb|2016-12-02 12:22:04.3050|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000074e-0003-f400-b63f-84710c7967bb|2016-12-02 12:22:10.2663|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
8000045a-0001-e900-b63f-84710c7967bb|2016-12-02 12:29:43.8642|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000013a-0001-eb00-b63f-84710c7967bb|2016-12-02 12:29:43.8642|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
8000008b-0000-f700-b63f-84710c7967bb|2016-12-02 12:32:21.0636|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
8000009c-0000-f300-b63f-84710c7967bb|2016-12-02 12:32:21.0636|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800001f0-0000-eb00-b63f-84710c7967bb|2016-12-02 12:34:16.2647|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000159-0000-f100-b63f-84710c7967bb|2016-12-02 12:34:16.2647|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800001f0-0000-eb00-b63f-84710c7967bb|2016-12-02 12:34:40.1787|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000159-0000-f100-b63f-84710c7967bb|2016-12-02 12:34:40.1787|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800001f0-0000-eb00-b63f-84710c7967bb|2016-12-02 12:34:40.5989|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000159-0000-f100-b63f-84710c7967bb|2016-12-02 12:34:40.5989|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000153-0001-eb00-b63f-84710c7967bb|2016-12-02 12:36:20.2488|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
