80000537-0003-fd00-b63f-84710c7967bb|2016-12-01 13:19:01.2586|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000537-0003-fd00-b63f-84710c7967bb|2016-12-01 13:19:09.3849|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000537-0003-fd00-b63f-84710c7967bb|2016-12-01 13:19:09.4159|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Orders/History
80000cbb-0001-ec00-b63f-84710c7967bb|2016-12-01 13:22:40.9363|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000cbb-0001-ec00-b63f-84710c7967bb|2016-12-01 13:22:45.1956|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000cbb-0001-ec00-b63f-84710c7967bb|2016-12-01 13:22:45.8530|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000cbe-0001-ec00-b63f-84710c7967bb|2016-12-01 13:22:59.1813|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history
80000cbe-0001-ec00-b63f-84710c7967bb|2016-12-01 13:23:07.2897|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history
80000cbe-0001-ec00-b63f-84710c7967bb|2016-12-01 13:23:07.3197|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history
80000cc2-0001-ec00-b63f-84710c7967bb|2016-12-01 13:24:07.7938|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history
80000cc2-0001-ec00-b63f-84710c7967bb|2016-12-01 13:24:13.3168|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history
80000cc2-0001-ec00-b63f-84710c7967bb|2016-12-01 13:24:13.3348|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history
80000cc4-0001-ec00-b63f-84710c7967bb|2016-12-01 13:24:25.3590|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history?DateFrom=01%2F21%2F2010&DateTo=12%2F03%2F2016
80000cc4-0001-ec00-b63f-84710c7967bb|2016-12-01 13:24:29.9432|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history?DateFrom=01%2F21%2F2010&DateTo=12%2F03%2F2016
80000cc4-0001-ec00-b63f-84710c7967bb|2016-12-01 13:24:29.9532|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history?DateFrom=01%2F21%2F2010&DateTo=12%2F03%2F2016
80000cc7-0001-ec00-b63f-84710c7967bb|2016-12-01 13:25:17.4321|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history?DateFrom=01%2F21%2F2010&DateTo=12%2F03%2F2016
80000cc7-0001-ec00-b63f-84710c7967bb|2016-12-01 13:25:24.8644|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history?DateFrom=01%2F21%2F2010&DateTo=12%2F03%2F2016
80000cc7-0001-ec00-b63f-84710c7967bb|2016-12-01 13:25:24.8834|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history?DateFrom=01%2F21%2F2010&DateTo=12%2F03%2F2016
80000cc9-0001-ec00-b63f-84710c7967bb|2016-12-01 13:25:29.9382|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history
80000cc9-0001-ec00-b63f-84710c7967bb|2016-12-01 13:25:33.5645|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history
80000cc9-0001-ec00-b63f-84710c7967bb|2016-12-01 13:25:33.5645|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history
80000ccb-0001-ec00-b63f-84710c7967bb|2016-12-01 13:25:38.0175|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history?DateFrom=01%2F10%2F2001&DateTo=12%2F1%2F2016
80000ccb-0001-ec00-b63f-84710c7967bb|2016-12-01 13:25:40.5263|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history?DateFrom=01%2F10%2F2001&DateTo=12%2F1%2F2016
80000ccb-0001-ec00-b63f-84710c7967bb|2016-12-01 13:25:40.5313|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history?DateFrom=01%2F10%2F2001&DateTo=12%2F1%2F2016
80000ccd-0001-ec00-b63f-84710c7967bb|2016-12-01 13:26:07.7313|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history
80000ccd-0001-ec00-b63f-84710c7967bb|2016-12-01 13:26:13.4434|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history
80000ccd-0001-ec00-b63f-84710c7967bb|2016-12-01 13:26:13.4584|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history
80000ccf-0001-ec00-b63f-84710c7967bb|2016-12-01 13:27:25.6711|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history
80000ccf-0001-ec00-b63f-84710c7967bb|2016-12-01 13:27:32.5722|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history
80000ccf-0001-ec00-b63f-84710c7967bb|2016-12-01 13:27:32.5903|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history
80000cd2-0001-ec00-b63f-84710c7967bb|2016-12-01 13:28:57.2827|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history
80000cd2-0001-ec00-b63f-84710c7967bb|2016-12-01 13:29:03.4643|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history
80000cd2-0001-ec00-b63f-84710c7967bb|2016-12-01 13:29:03.4833|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history
80000cd5-0001-ec00-b63f-84710c7967bb|2016-12-01 13:29:09.7085|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/orders/history?DateFrom=09%2F23%2F2010&DateTo=12%2F1%2F2016
