80000025-0002-e600-b63f-84710c7967bb|2016-11-24 17:27:20.6412|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000025-0002-e600-b63f-84710c7967bb|2016-11-24 17:27:27.5723|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000028-0001-ee00-b63f-84710c7967bb|2016-11-24 17:32:23.2357|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000028-0001-ee00-b63f-84710c7967bb|2016-11-24 17:32:28.0617|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000028-0001-ee00-b63f-84710c7967bb|2016-11-24 17:32:28.9053|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000061e-0000-f100-b63f-84710c7967bb|2016-11-24 17:34:06.8791|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000061e-0000-f100-b63f-84710c7967bb|2016-11-24 17:34:10.9269|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000061e-0000-f100-b63f-84710c7967bb|2016-11-24 17:34:11.6842|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000622-0000-f100-b63f-84710c7967bb|2016-11-24 17:34:34.2222|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000622-0000-f100-b63f-84710c7967bb|2016-11-24 17:34:34.2652|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000622-0000-f100-b63f-84710c7967bb|2016-11-24 17:34:34.3230|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000624-0000-f100-b63f-84710c7967bb|2016-11-24 17:34:38.0544|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000624-0000-f100-b63f-84710c7967bb|2016-11-24 17:34:38.0674|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000624-0000-f100-b63f-84710c7967bb|2016-11-24 17:34:38.1385|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000626-0000-f100-b63f-84710c7967bb|2016-11-24 17:34:42.4736|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000626-0000-f100-b63f-84710c7967bb|2016-11-24 17:34:42.4986|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000626-0000-f100-b63f-84710c7967bb|2016-11-24 17:34:42.5566|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000628-0000-f100-b63f-84710c7967bb|2016-11-24 17:34:52.4903|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000628-0000-f100-b63f-84710c7967bb|2016-11-24 17:34:52.5108|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000628-0000-f100-b63f-84710c7967bb|2016-11-24 17:34:52.5772|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000062a-0000-f100-b63f-84710c7967bb|2016-11-24 17:34:55.8108|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000062a-0000-f100-b63f-84710c7967bb|2016-11-24 17:34:55.8258|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000062a-0000-f100-b63f-84710c7967bb|2016-11-24 17:34:55.8886|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000062c-0000-f100-b63f-84710c7967bb|2016-11-24 17:35:00.0134|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=threeyear&FilterBy=Popularity
8000062c-0000-f100-b63f-84710c7967bb|2016-11-24 17:35:00.0835|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=threeyear&FilterBy=Popularity
8000062c-0000-f100-b63f-84710c7967bb|2016-11-24 17:35:00.1555|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=threeyear&FilterBy=Popularity
8000062e-0000-f100-b63f-84710c7967bb|2016-11-24 17:35:05.2631|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?DateOfAdding=threeyear&FilterBy=Popularity&Page=2
8000062e-0000-f100-b63f-84710c7967bb|2016-11-24 17:35:05.2906|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?DateOfAdding=threeyear&FilterBy=Popularity&Page=2
8000062e-0000-f100-b63f-84710c7967bb|2016-11-24 17:35:05.3552|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?DateOfAdding=threeyear&FilterBy=Popularity&Page=2
800005ee-0000-e700-b63f-84710c7967bb|2016-11-24 17:37:02.0622|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800005ee-0000-e700-b63f-84710c7967bb|2016-11-24 17:37:06.4738|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800005ee-0000-e700-b63f-84710c7967bb|2016-11-24 17:37:07.2914|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800003de-0000-fc00-b63f-84710c7967bb|2016-11-24 17:43:35.5536|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800003de-0000-fc00-b63f-84710c7967bb|2016-11-24 17:43:42.1754|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800003de-0000-fc00-b63f-84710c7967bb|2016-11-24 17:43:42.9680|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800003e0-0000-fc00-b63f-84710c7967bb|2016-11-24 17:43:49.9398|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=year&FilterBy=Popularity
800003e0-0000-fc00-b63f-84710c7967bb|2016-11-24 17:43:50.0170|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=year&FilterBy=Popularity
800003e0-0000-fc00-b63f-84710c7967bb|2016-11-24 17:43:50.0861|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=year&FilterBy=Popularity
80000058-0000-f000-b63f-84710c7967bb|2016-11-24 17:44:28.4605|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000058-0000-f000-b63f-84710c7967bb|2016-11-24 17:44:32.4452|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
80000058-0000-f000-b63f-84710c7967bb|2016-11-24 17:44:33.2634|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
8000005a-0000-f000-b63f-84710c7967bb|2016-11-24 17:44:43.6579|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=year&FilterBy=Popularity
8000005a-0000-f000-b63f-84710c7967bb|2016-11-24 17:44:43.7395|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=year&FilterBy=Popularity
8000005a-0000-f000-b63f-84710c7967bb|2016-11-24 17:44:43.8221|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=year&FilterBy=Popularity
8000005c-0000-f000-b63f-84710c7967bb|2016-11-24 17:45:11.7668|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=threeyear&FilterBy=Popularity
8000005c-0000-f000-b63f-84710c7967bb|2016-11-24 17:45:11.8539|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=threeyear&FilterBy=Popularity
8000005c-0000-f000-b63f-84710c7967bb|2016-11-24 17:45:11.9189|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=threeyear&FilterBy=Popularity
8000005e-0000-f000-b63f-84710c7967bb|2016-11-24 17:45:14.8667|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?DateOfAdding=threeyear&FilterBy=Popularity&Page=2
8000005e-0000-f000-b63f-84710c7967bb|2016-11-24 17:45:14.8887|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?DateOfAdding=threeyear&FilterBy=Popularity&Page=2
8000005e-0000-f000-b63f-84710c7967bb|2016-11-24 17:45:14.9478|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?DateOfAdding=threeyear&FilterBy=Popularity&Page=2
80000060-0000-f000-b63f-84710c7967bb|2016-11-24 17:45:17.2336|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?DateOfAdding=threeyear&FilterBy=Popularity&Page=1
80000060-0000-f000-b63f-84710c7967bb|2016-11-24 17:45:17.2953|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?DateOfAdding=threeyear&FilterBy=Popularity&Page=1
80000060-0000-f000-b63f-84710c7967bb|2016-11-24 17:45:17.3688|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?DateOfAdding=threeyear&FilterBy=Popularity&Page=1
800003ea-0000-fc00-b63f-84710c7967bb|2016-11-24 17:47:52.0600|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800003ea-0000-fc00-b63f-84710c7967bb|2016-11-24 17:47:56.3655|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800003ea-0000-fc00-b63f-84710c7967bb|2016-11-24 17:47:57.1483|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/
800003ec-0000-fc00-b63f-84710c7967bb|2016-11-24 17:48:04.4362|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=twoyear&FilterBy=Popularity
800003ec-0000-fc00-b63f-84710c7967bb|2016-11-24 17:48:04.5179|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=twoyear&FilterBy=Popularity
800003ec-0000-fc00-b63f-84710c7967bb|2016-11-24 17:48:04.5859|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/games?Name=&MinPrice=&MaxPrice=&DateOfAdding=twoyear&FilterBy=Popularity
800001cf-0002-f800-b63f-84710c7967bb|2016-11-24 17:51:09.7257|DEBUG|ips|Client info: IP = ::1; URI = http://localhost:65078/Games/Index
